[I 2026-05-15 08:51:39,636] Using an existing study with name 'exp211_user_ltv_part3_hybrid_optuna_20260515t073925' instead of creating a new one.
Loading Database object from /home/u2021201693/.cache/relbench/rel-amazon/db...
Loading Database object from /home/u2021201693/.cache/relbench/rel-amazon/db...
Done in 49.56 seconds.
Loading Database object from /home/u2021201693/.cache/relbench/rel-amazon/db...
Done in 49.87 seconds.
Loading Database object from /home/u2021201693/.cache/relbench/rel-amazon/db...
Done in 49.98 seconds.
Done in 50.98 seconds.
Table names:  ['review', 'product', 'customer']
Begin time:  2008-01-01 00:00:00 End time:  2018-09-28 00:00:00
Val time:  2015-10-01 00:00:00 Test time:  2016-01-01 00:00:00
Graph cache profile:  gnn_repr_full_horizon
Entity table:  customer
Loading LLAMA
Freezing LLAMA!
trainable params: 13.37M || all params: 1249.18M || trainable: 1.0701%

  0%|          | 0/32768 [00:00<?, ?it/s]Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
/fs/fast/u2021201693/lym/Rel-LLM-codex-stage3-clean-p13/conda/envs/lib/python3.11/site-packages/torch/autograd/graph.py:769: UserWarning: Grad strides do not match bucket view strides. This may indicate grad was not created according to the gradient layout contract, or that the param's strides changed since DDP was constructed.  This is not an error, but may impair performance.
grad.sizes() = [1, 7, 8, 128], strides() = [128, 1024, 128, 1]
bucket_view.sizes() = [1, 7, 8, 128], strides() = [7168, 1024, 128, 1] (Triggered internally at ../torch/csrc/distributed/c10d/reducer.cpp:327.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/fs/fast/u2021201693/lym/Rel-LLM-codex-stage3-clean-p13/conda/envs/lib/python3.11/site-packages/torch/autograd/graph.py:769: UserWarning: Grad strides do not match bucket view strides. This may indicate grad was not created according to the gradient layout contract, or that the param's strides changed since DDP was constructed.  This is not an error, but may impair performance.
grad.sizes() = [1, 7, 8, 128], strides() = [128, 1024, 128, 1]
bucket_view.sizes() = [1, 7, 8, 128], strides() = [7168, 1024, 128, 1] (Triggered internally at ../torch/csrc/distributed/c10d/reducer.cpp:327.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass

[Train] Step: 1/32768 | Cycle step: 1/32768 | Train loss: 45.481930:   0%|          | 0/32768 [00:02<?, ?it/s]
[Train] Step: 68/32768 | Cycle step: 68/32768 | Train loss: 15.041548:   0%|          | 67/32768 [00:10<1:07:17,  8.10it/s]
[Train] Step: 68/32768 | Cycle step: 68/32768 | Train loss: 15.041548:   0%|          | 68/32768 [00:10<1:06:36,  8.18it/s]
[Train] Step: 69/32768 | Cycle step: 69/32768 | Train loss: 15.060453:   0%|          | 68/32768 [00:10<1:06:36,  8.18it/s]
[Train] Step: 69/32768 | Cycle step: 69/32768 | Train loss: 15.060453:   0%|          | 69/32768 [00:10<1:06:34,  8.19it/s]
[Train] Step: 70/32768 | Cycle step: 70/32768 | Train loss: 14.926984:   0%|          | 69/32768 [00:11<1:06:34,  8.19it/s]
[Train] Step: 70/32768 | Cycle step: 70/32768 | Train loss: 14.926984:   0%|          | 70/32768 [00:11<1:06:27,  8.20it/s]
[Train] Step: 71/32768 | Cycle step: 71/32768 | Train loss: 15.201830:   0%|          | 70/32768 [00:11<1:06:27,  8.20it/s]
[Train] Step: 71/32768 | Cycle step: 71/32768 | Train loss: 15.201830:   0%|          | 71/32768 [00:11<1:06:52,  8.15it/s]
[Train] Step: 72/32768 | Cycle step: 72/32768 | Train loss: 15.044961:   0%|          | 71/32768 [00:11<1:06:52,  8.15it/s]
[Train] Step: 72/32768 | Cycle step: 72/32768 | Train loss: 15.044961:   0%|          | 72/32768 [00:11<1:06:21,  8.21it/s]
[Train] Step: 73/32768 | Cycle step: 73/32768 | Train loss: 14.858209:   0%|          | 72/32768 [00:11<1:06:21,  8.21it/s]
[Train] Step: 73/32768 | Cycle step: 73/32768 | Train loss: 14.858209:   0%|          | 73/32768 [00:11<1:06:07,  8.24it/s]
[Train] Step: 74/32768 | Cycle step: 74/32768 | Train loss: 14.713292:   0%|          | 73/32768 [00:11<1:06:07,  8.24it/s]
[Train] Step: 74/32768 | Cycle step: 74/32768 | Train loss: 14.713292:   0%|          | 74/32768 [00:11<1:05:59,  8.26it/s]
[Train] Step: 75/32768 | Cycle step: 75/32768 | Train loss: 14.555347:   0%|          | 74/32768 [00:11<1:05:59,  8.26it/s]
[Train] Step: 75/32768 | Cycle step: 75/32768 | Train loss: 14.555347:   0%|          | 75/32768 [00:11<1:05:56,  8.26it/s]
[Train] Step: 76/32768 | Cycle step: 76/32768 | Train loss: 14.478561:   0%|          | 75/32768 [00:11<1:05:56,  8.26it/s]
[Train] Step: 76/32768 | Cycle step: 76/32768 | Train loss: 14.478561:   0%|          | 76/32768 [00:11<1:05:52,  8.27it/s]
[Train] Step: 77/32768 | Cycle step: 77/32768 | Train loss: 14.344830:   0%|          | 76/32768 [00:11<1:05:52,  8.27it/s]
[Train] Step: 77/32768 | Cycle step: 77/32768 | Train loss: 14.344830:   0%|          | 77/32768 [00:11<1:05:58,  8.26it/s]
[Train] Step: 78/32768 | Cycle step: 78/32768 | Train loss: 14.179429:   0%|          | 77/32768 [00:12<1:05:58,  8.26it/s]
[Train] Step: 78/32768 | Cycle step: 78/32768 | Train loss: 14.179429:   0%|          | 78/32768 [00:12<1:05:35,  8.31it/s]
[Train] Step: 79/32768 | Cycle step: 79/32768 | Train loss: 14.032216:   0%|          | 78/32768 [00:12<1:05:35,  8.31it/s]
[Train] Step: 79/32768 | Cycle step: 79/32768 | Train loss: 14.032216:   0%|          | 79/32768 [00:12<1:05:20,  8.34it/s]
[Train] Step: 80/32768 | Cycle step: 80/32768 | Train loss: 14.023886:   0%|          | 79/32768 [00:12<1:05:20,  8.34it/s]
[Train] Step: 80/32768 | Cycle step: 80/32768 | Train loss: 14.023886:   0%|          | 80/32768 [00:12<1:05:20,  8.34it/s]
[Train] Step: 81/32768 | Cycle step: 81/32768 | Train loss: 13.864257:   0%|          | 80/32768 [00:12<1:05:20,  8.34it/s]
[Train] Step: 81/32768 | Cycle step: 81/32768 | Train loss: 13.864257:   0%|          | 81/32768 [00:12<1:05:21,  8.34it/s]
[Train] Step: 82/32768 | Cycle step: 82/32768 | Train loss: 13.935933:   0%|          | 81/32768 [00:12<1:05:21,  8.34it/s]
[Train] Step: 82/32768 | Cycle step: 82/32768 | Train loss: 13.935933:   0%|          | 82/32768 [00:12<1:05:51,  8.27it/s]
[Train] Step: 83/32768 | Cycle step: 83/32768 | Train loss: 13.981675:   0%|          | 82/32768 [00:12<1:05:51,  8.27it/s]
[Train] Step: 83/32768 | Cycle step: 83/32768 | Train loss: 13.981675:   0%|          | 83/32768 [00:12<1:08:35,  7.94it/s]
